Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:	-32.81944444444434	1.3263888888888888
Calibration Channels:	410	986
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	60.12
Elapsed Live Time:	60.0
Start Time:	October 11, 2021, 02:36:01
End Time:	October 11, 2021, 02:37:02
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

774	774.0	1
775	775.0	1
776	776.0	0
777	777.0	0
778	778.0	0
779	779.0	0
780	780.0	0
781	781.0	0
782	782.0	0
783	783.0	0
784	784.0	0
785	785.0	0
786	786.0	1
787	787.0	0
788	788.0	0
789	789.0	0
790	790.0	1
791	791.0	0
792	792.0	0
793	793.0	0
794	794.0	1
795	795.0	0
796	796.0	0
797	797.0	0
798	798.0	0
799	799.0	0
800	800.0	0
801	801.0	0
802	802.0	0
803	803.0	0
804	804.0	0
805	805.0	0
806	806.0	0
807	807.0	0
808	808.0	0
809	809.0	1
810	810.0	0
811	811.0	0
812	812.0	0
813	813.0	0
814	814.0	0
815	815.0	0
816	816.0	0
817	817.0	0
818	818.0	0
819	819.0	0
820	820.0	1
821	821.0	0
822	822.0	0
823	823.0	0
824	824.0	0
825	825.0	0
826	826.0	0
827	827.0	0
828	828.0	0
829	829.0	1
830	830.0	0
831	831.0	0
832	832.0	0
833	833.0	0
834	834.0	0
835	835.0	1
836	836.0	0
837	837.0	1
838	838.0	0
839	839.0	2
840	840.0	0
841	841.0	0
842	842.0	1
843	843.0	0
844	844.0	0
845	845.0	1
846	846.0	0
847	847.0	0
848	848.0	0
849	849.0	0
850	850.0	0
851	851.0	0
852	852.0	1
853	853.0	0
854	854.0	0
855	855.0	1
856	856.0	0
857	857.0	0
858	858.0	1
859	859.0	0
860	860.0	0
861	861.0	0
862	862.0	0
863	863.0	0
864	864.0	1
865	865.0	0
866	866.0	0
867	867.0	0
868	868.0	0
869	869.0	0
870	870.0	0
871	871.0	0
872	872.0	0
873	873.0	1
874	874.0	0
875	875.0	0
876	876.0	1
877	877.0	0
878	878.0	0
879	879.0	1
880	880.0	0
881	881.0	0
882	882.0	0
883	883.0	0
884	884.0	0
885	885.0	0
886	886.0	0
887	887.0	3
888	888.0	0
889	889.0	1
890	890.0	0
891	891.0	1
892	892.0	0
893	893.0	1
894	894.0	0
895	895.0	0
896	896.0	0
897	897.0	0
898	898.0	0
899	899.0	0
900	900.0	1
901	901.0	0
902	902.0	0
903	903.0	1
904	904.0	0
905	905.0	0
906	906.0	1
907	907.0	0
908	908.0	0
909	909.0	2
910	910.0	0
911	911.0	0
912	912.0	1
913	913.0	0
914	914.0	0
915	915.0	1
916	916.0	0
917	917.0	0
918	918.0	0
919	919.0	0
920	920.0	0
921	921.0	1
922	922.0	0
923	923.0	0
924	924.0	0
925	925.0	0
926	926.0	0
927	927.0	0
928	928.0	0
929	929.0	0
930	930.0	0
931	931.0	0
932	932.0	0
933	933.0	0
934	934.0	0
935	935.0	0
936	936.0	0
937	937.0	0
938	938.0	0
939	939.0	0
940	940.0	0
941	941.0	0
942	942.0	0
943	943.0	1
944	944.0	0
945	945.0	0
946	946.0	0
947	947.0	0
948	948.0	0
949	949.0	0
950	950.0	0
951	951.0	0
952	952.0	0
953	953.0	0
954	954.0	0
955	955.0	0
956	956.0	0
957	957.0	0
958	958.0	1
959	959.0	1
960	960.0	0
961	961.0	1
962	962.0	0
963	963.0	0
964	964.0	0
965	965.0	0
966	966.0	2
967	967.0	0
968	968.0	0
969	969.0	0
970	970.0	0
971	971.0	1
972	972.0	0
973	973.0	0
974	974.0	0
975	975.0	0
976	976.0	0
977	977.0	0
978	978.0	0
979	979.0	1
980	980.0	0
981	981.0	0
982	982.0	1
983	983.0	0
984	984.0	0
985	985.0	0
986	986.0	0
987	987.0	0
988	988.0	1
989	989.0	0
990	990.0	1
991	991.0	0
992	992.0	0
993	993.0	0
994	994.0	0
995	995.0	0
996	996.0	0
997	997.0	0
998	998.0	0
999	999.0	0
1000	1000.0	0
1001	1001.0	0
1002	1002.0	0
1003	1003.0	0
1004	1004.0	0
1005	1005.0	1
1006	1006.0	0
1007	1007.0	0
1008	1008.0	0
1009	1009.0	0
1010	1010.0	0
1011	1011.0	0
1012	1012.0	0
1013	1013.0	0
1014	1014.0	0
1015	1015.0	0
1016	1016.0	0
1017	1017.0	0
1018	1018.0	0
1019	1019.0	0
1020	1020.0	0
1021	1021.0	0
1022	1022.0	0
1023	1023.0	0
