Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Pre-Amp
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	4
Fine Gain:	1.0
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:	-32.81944444444434	1.3263888888888888
Calibration Channels:	410	986
Calibration Energies:	511.0	1275.0
Elapsed Real Time:	60.03
Elapsed Live Time:	60.0
Start Time:	October 11, 2021, 03:10:18
End Time:	October 11, 2021, 03:11:19
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid

830	830.0	1
831	831.0	0
832	832.0	0
833	833.0	0
834	834.0	0
835	835.0	0
836	836.0	0
837	837.0	0
838	838.0	0
839	839.0	0
840	840.0	0
841	841.0	0
842	842.0	0
843	843.0	0
844	844.0	0
845	845.0	0
846	846.0	0
847	847.0	0
848	848.0	0
849	849.0	0
850	850.0	0
851	851.0	0
852	852.0	0
853	853.0	0
854	854.0	0
855	855.0	0
856	856.0	0
857	857.0	1
858	858.0	0
859	859.0	0
860	860.0	1
861	861.0	0
862	862.0	0
863	863.0	0
864	864.0	1
865	865.0	0
866	866.0	0
867	867.0	0
868	868.0	0
869	869.0	0
870	870.0	1
871	871.0	1
872	872.0	0
873	873.0	0
874	874.0	0
875	875.0	0
876	876.0	1
877	877.0	0
878	878.0	0
879	879.0	0
880	880.0	1
881	881.0	0
882	882.0	0
883	883.0	2
884	884.0	0
885	885.0	0
886	886.0	0
887	887.0	0
888	888.0	1
889	889.0	0
890	890.0	0
891	891.0	0
892	892.0	0
893	893.0	0
894	894.0	0
895	895.0	0
896	896.0	0
897	897.0	1
898	898.0	0
899	899.0	0
900	900.0	2
901	901.0	0
902	902.0	0
903	903.0	0
904	904.0	0
905	905.0	0
906	906.0	0
907	907.0	0
908	908.0	0
909	909.0	0
910	910.0	0
911	911.0	0
912	912.0	0
913	913.0	0
914	914.0	0
915	915.0	0
916	916.0	1
917	917.0	1
918	918.0	0
919	919.0	1
920	920.0	0
921	921.0	0
922	922.0	0
923	923.0	0
924	924.0	0
925	925.0	0
926	926.0	0
927	927.0	0
928	928.0	0
929	929.0	0
930	930.0	0
931	931.0	0
932	932.0	1
933	933.0	1
934	934.0	0
935	935.0	0
936	936.0	0
937	937.0	0
938	938.0	0
939	939.0	0
940	940.0	1
941	941.0	2
942	942.0	0
943	943.0	0
944	944.0	0
945	945.0	0
946	946.0	1
947	947.0	0
948	948.0	0
949	949.0	0
950	950.0	0
951	951.0	0
952	952.0	0
953	953.0	1
954	954.0	0
955	955.0	0
956	956.0	1
957	957.0	0
958	958.0	0
959	959.0	0
960	960.0	0
961	961.0	0
962	962.0	0
963	963.0	0
964	964.0	1
965	965.0	0
966	966.0	0
967	967.0	0
968	968.0	0
969	969.0	1
970	970.0	0
971	971.0	0
972	972.0	0
973	973.0	1
974	974.0	0
975	975.0	0
976	976.0	0
977	977.0	0
978	978.0	1
979	979.0	0
980	980.0	0
981	981.0	0
982	982.0	0
983	983.0	1
984	984.0	1
985	985.0	0
986	986.0	2
987	987.0	0
988	988.0	0
989	989.0	0
990	990.0	0
991	991.0	0
992	992.0	0
993	993.0	0
994	994.0	1
995	995.0	1
996	996.0	0
997	997.0	0
998	998.0	0
999	999.0	1
1000	1000.0	0
1001	1001.0	0
1002	1002.0	0
1003	1003.0	0
1004	1004.0	0
1005	1005.0	0
1006	1006.0	0
1007	1007.0	0
1008	1008.0	0
1009	1009.0	0
1010	1010.0	0
1011	1011.0	0
1012	1012.0	0
1013	1013.0	0
1014	1014.0	0
1015	1015.0	0
1016	1016.0	0
1017	1017.0	0
1018	1018.0	0
1019	1019.0	0
1020	1020.0	0
1021	1021.0	0
1022	1022.0	0
1023	1023.0	0
